action_framing,escalation_of_commitment
Ambiguous,20
Ambiguous,50
Escalation-action,30
Deescalation-action,50
Escalation-action,50
Deescalation-action,0
Ambiguous,65
Ambiguous,48
Escalation-action,30
Deescalation-action,50
Escalation-action,60
Escalation-action,20
Ambiguous,50
Ambiguous,50
Escalation-action,100
Ambiguous,50
Deescalation-action,50
Escalation-action,90
Deescalation-action,20
Escalation-action,0
Deescalation-action,30
Deescalation-action,75
Ambiguous,10
Ambiguous,5
Deescalation-action,30
Ambiguous,30
Escalation-action,50
Deescalation-action,10
Escalation-action,75
Deescalation-action,80
Ambiguous,20
Escalation-action,30
Deescalation-action,30
Deescalation-action,10
Ambiguous,10
Ambiguous,0
Ambiguous,45
Deescalation-action,70
Escalation-action,30
Deescalation-action,45
Ambiguous,50
Ambiguous,60
Escalation-action,40
Deescalation-action,15
Ambiguous,40
Escalation-action,30
Escalation-action,70
Escalation-action,60
Ambiguous,80
Deescalation-action,0
Deescalation-action,50
Escalation-action,15
Ambiguous,65
Escalation-action,90
Escalation-action,15
Deescalation-action,60
Ambiguous,60
Deescalation-action,20
Ambiguous,40
Escalation-action,50
Deescalation-action,40
Ambiguous,60
Deescalation-action,60
Ambiguous,60
Escalation-action,40
Deescalation-action,50
Escalation-action,80
Escalation-action,30
Ambiguous,20
Ambiguous,70
Deescalation-action,10
Deescalation-action,0
Escalation-action,60
Escalation-action,40
Ambiguous,40
Escalation-action,75
Ambiguous,20
Deescalation-action,100
Deescalation-action,0
Deescalation-action,38
Escalation-action,10
Ambiguous,90
Escalation-action,70
Deescalation-action,70
Ambiguous,60
Ambiguous,50
Escalation-action,20
Deescalation-action,100
Ambiguous,80
Escalation-action,70
Deescalation-action,40
Deescalation-action,80
Ambiguous,20
Ambiguous,50
Escalation-action,70
Escalation-action,80
Deescalation-action,80
Escalation-action,70
Ambiguous,65
Deescalation-action,30
Escalation-action,50
Ambiguous,30
Deescalation-action,80
Ambiguous,80
Ambiguous,10
Escalation-action,60
Escalation-action,60
Deescalation-action,40
Deescalation-action,20
Ambiguous,50
Ambiguous,70
Escalation-action,60
Escalation-action,60
Deescalation-action,25
Deescalation-action,70
Escalation-action,30
Deescalation-action,45
Ambiguous,50
Ambiguous,85
Deescalation-action,40
Escalation-action,80
Escalation-action,85
Ambiguous,60
Ambiguous,20
Deescalation-action,70
Escalation-action,30
Escalation-action,0
Deescalation-action,20
Deescalation-action,60
Ambiguous,70
Escalation-action,70
Ambiguous,70
Deescalation-action,100
Escalation-action,40
Escalation-action,50
Deescalation-action,85
Ambiguous,0
Escalation-action,80
Ambiguous,20
Ambiguous,60
Ambiguous,40
Deescalation-action,40
Escalation-action,70
Deescalation-action,30
Deescalation-action,20
Deescalation-action,40
Escalation-action,90
Ambiguous,20
Ambiguous,80
Deescalation-action,30
Escalation-action,20
Deescalation-action,50
Ambiguous,50
Escalation-action,80
Escalation-action,50
Deescalation-action,50
Deescalation-action,20
Ambiguous,50
Ambiguous,50
Ambiguous,80
Escalation-action,70
Escalation-action,50
Deescalation-action,70
Deescalation-action,0
Escalation-action,70
Ambiguous,60
Ambiguous,20
Deescalation-action,60
Ambiguous,35
Deescalation-action,70
Deescalation-action,10
Deescalation-action,70
Escalation-action,70
Ambiguous,20
Ambiguous,20
Escalation-action,50
Ambiguous,40
Escalation-action,85
Escalation-action,100
Deescalation-action,30
Escalation-action,80
Escalation-action,70
Deescalation-action,30
Ambiguous,10
Ambiguous,80
Deescalation-action,0
Deescalation-action,20
Ambiguous,10
Escalation-action,10
Escalation-action,40
Ambiguous,10
Ambiguous,100
Deescalation-action,25
Deescalation-action,68
Escalation-action,70
Ambiguous,0
Escalation-action,75
Deescalation-action,70
Ambiguous,90
Escalation-action,30
Deescalation-action,50
Escalation-action,60
Escalation-action,60
Escalation-action,60
Deescalation-action,30
Deescalation-action,50
Ambiguous,90
Escalation-action,70
Ambiguous,7
Deescalation-action,30
Ambiguous,50
Ambiguous,50
Deescalation-action,40
Escalation-action,40
Ambiguous,65
Deescalation-action,70
Deescalation-action,10
Escalation-action,75
Ambiguous,70
Deescalation-action,75
Ambiguous,80
Escalation-action,60
Escalation-action,50
Ambiguous,60
Deescalation-action,65
Escalation-action,40
Escalation-action,30
Ambiguous,55
Deescalation-action,70
